Domain: notifications-pa.googleapis.com, IP: 172.217.194.95, URL: https://notifications-pa.googleapis.com/v1/storetarget, Status: success, Reason: 
Domain: accounts.google.com, IP: 74.125.130.84, URL: https://accounts.google.com/ListAccounts?gpsia=1&source=ChromiumBrowser&json=standard, Status: success, Reason: 
Domain: clients4.google.com, IP: 172.217.194.101, URL: https://clients4.google.com/chrome-sync/command/?client=Google+Chrome&client_id=gZ8RuL6LtQ6cKwEoFIxrWQ%3D%3D, Status: success, Reason: 
Domain: update.googleapis.com, IP: 172.253.118.94, URL: https://update.googleapis.com/service/update2/json?cup2key=10:3574596040&cup2hreq=620fbf3b4024604a91973589fdef2f6e055ef7a8c2a9ae7a1ca79b81f650d992, Status: success, Reason: 
Domain: peoplestack-pa.googleapis.com, IP: 74.125.68.95, URL: https://peoplestack-pa.googleapis.com/peoplestack.PeopleStackAutocompleteService/Lookup, Status: success, Reason: 
Domain: inbox.google.com, IP: 74.125.130.18, URL: https://inbox.google.com/sync/st/s?hl=en_US&c=0, Status: success, Reason: 
Domain: inbox.google.com, IP: 74.125.130.18, URL: https://inbox.google.com/sync/i/bv?hl=en_US&c=1, Status: success, Reason: 
Domain: peoplestack-pa.googleapis.com, IP: 74.125.68.95, URL: https://peoplestack-pa.googleapis.com/peoplestack.PeopleStackAutocompleteService/Autocomplete, Status: success, Reason: 
Domain: notifications-pa.googleapis.com, IP: 74.125.130.95, URL: https://notifications-pa.googleapis.com/v1/storetarget, Status: success, Reason: 
Domain: inbox.google.com, IP: 74.125.130.18, URL: https://inbox.google.com/sync/st/s?hl=en_US&c=3, Status: success, Reason: 
Domain: inbox.google.com, IP: 74.125.130.18, URL: https://inbox.google.com/sync/i/bv?hl=en_US&c=2, Status: success, Reason: 
Domain: cdn.ampproject.org, IP: 64.233.170.132, URL: https://cdn.ampproject.org/rtv/012405231944000/v0.js, Status: success, Reason: 
Domain: cdn.ampproject.org, IP: 64.233.170.132, URL: https://cdn.ampproject.org/rtv/012405231944000/v0/amp-viewer-integration-0.1.js, Status: success, Reason: 
Domain: cdn.ampproject.org, IP: 64.233.170.132, URL: https://cdn.ampproject.org/rtv/012405231944000/v0/amp-viewer-integration-gmail-0.1.js, Status: success, Reason: 
Domain: cdn.ampproject.org, IP: 64.233.170.132, URL: https://cdn.ampproject.org/rtv/012405231944000/ww.js, Status: success, Reason: 
Domain: cdn.ampproject.org, IP: 64.233.170.132, URL: https://cdn.ampproject.org/rtv/012405231944000/v0/amp-bind-0.1.js, Status: success, Reason: 
Domain: cdn.ampproject.org, IP: 64.233.170.132, URL: https://cdn.ampproject.org/rtv/012405231944000/v0/amp-form-0.1.js, Status: success, Reason: 
Domain: cdn.ampproject.org, IP: 64.233.170.132, URL: https://cdn.ampproject.org/rtv/012405231944000/v0/amp-list-0.1.js, Status: success, Reason: 
Domain: cdn.ampproject.org, IP: 64.233.170.132, URL: https://cdn.ampproject.org/rtv/012405231944000/v0/amp-mustache-0.2.js, Status: success, Reason: 
Domain: cdn.ampproject.org, IP: 64.233.170.132, URL: https://cdn.ampproject.org/rtv/012405231944000/v0/amp-carousel-0.1.js, Status: success, Reason: 
Domain: mail.google.com, IP: 74.125.68.83, URL: https://mail.google.com/mail/ads/main?rt=b&client=26, Status: success, Reason: 
Domain: inbox.google.com, IP: 74.125.130.18, URL: https://inbox.google.com/sync/i/bv?hl=en_US&c=4, Status: success, Reason: 
Domain: inbox.google.com, IP: 74.125.130.18, URL: https://inbox.google.com/sync/i/bv?hl=en_US&c=5, Status: success, Reason: 
Domain: inbox.google.com, IP: 74.125.130.18, URL: https://inbox.google.com/sync/el2?hl=en_US&c=6, Status: success, Reason: 
Domain: www.straitstimes.com, IP: 152.195.56.195, URL: https://www.straitstimes.com/, Status: success, Reason: 
Domain: www.straitstimes.com, IP: 152.195.56.195, URL: https://www.straitstimes.com/modules/common/sph_dfp/modules/sph_dfp_betterads/js/betterads_head.js, Status: success, Reason: 
Domain: www.straitstimes.com, IP: 152.195.56.195, URL: https://www.straitstimes.com/core/modules/system/css/components/ajax-progress.module.css?sejoad, Status: success, Reason: 
Domain: www.straitstimes.com, IP: 152.195.56.195, URL: https://www.straitstimes.com/core/modules/system/css/components/align.module.css?sejoad, Status: success, Reason: 
Domain: www.straitstimes.com, IP: 152.195.56.195, URL: https://www.straitstimes.com/core/modules/system/css/components/autocomplete-loading.module.css?sejoad, Status: success, Reason: 
Domain: www.straitstimes.com, IP: 152.195.56.195, URL: https://www.straitstimes.com/core/modules/system/css/components/fieldgroup.module.css?sejoad, Status: success, Reason: 
Domain: www.straitstimes.com, IP: 152.195.56.195, URL: https://www.straitstimes.com/core/modules/system/css/components/container-inline.module.css?sejoad, Status: success, Reason: 
Domain: www.straitstimes.com, IP: 152.195.56.195, URL: https://www.straitstimes.com/core/modules/system/css/components/clearfix.module.css?sejoad, Status: success, Reason: 
Domain: www.straitstimes.com, IP: 152.195.56.195, URL: https://www.straitstimes.com/core/modules/system/css/components/details.module.css?sejoad, Status: success, Reason: 
Domain: www.straitstimes.com, IP: 152.195.56.195, URL: https://www.straitstimes.com/core/modules/system/css/components/hidden.module.css?sejoad, Status: success, Reason: 
Domain: www.straitstimes.com, IP: 152.195.56.195, URL: https://www.straitstimes.com/themes/custom/straitstimes/js/permutive_script_sphl.js, Status: success, Reason: 
Domain: www.straitstimes.com, IP: 152.195.56.195, URL: https://www.straitstimes.com/modules/common/sph_dfp/modules/sph_dfp_betterads/js/betterads.js, Status: success, Reason: 
Domain: clientservices.googleapis.com, IP: 64.233.170.94, URL: https://clientservices.googleapis.com/chrome-variations/seed?osname=android&channel=stable&milestone=91, Status: success, Reason: 
Domain: 5f876161-9740-4cc8-9b64-4585990b2690.edge.permutive.app, IP: 104.18.41.170, URL: https://5f876161-9740-4cc8-9b64-4585990b2690.edge.permutive.app/5f876161-9740-4cc8-9b64-4585990b2690-web.js, Status: success, Reason: 
Domain: www.straitstimes.com, IP: 152.195.56.195, URL: https://www.straitstimes.com/core/modules/system/css/components/item-list.module.css?sejoad, Status: success, Reason: 
Domain: www.straitstimes.com, IP: 152.195.56.195, URL: https://www.straitstimes.com/core/modules/system/css/components/js.module.css?sejoad, Status: success, Reason: 
Domain: www.straitstimes.com, IP: 152.195.56.195, URL: https://www.straitstimes.com/core/modules/system/css/components/nowrap.module.css?sejoad, Status: success, Reason: 
Domain: www.straitstimes.com, IP: 152.195.56.195, URL: https://www.straitstimes.com/core/modules/system/css/components/position-container.module.css?sejoad, Status: success, Reason: 
Domain: www.straitstimes.com, IP: 152.195.56.195, URL: https://www.straitstimes.com/core/modules/system/css/components/progress.module.css?sejoad, Status: success, Reason: 
Domain: www.straitstimes.com, IP: 152.195.56.195, URL: https://www.straitstimes.com/core/modules/system/css/components/reset-appearance.module.css?sejoad, Status: success, Reason: 
Domain: www.straitstimes.com, IP: 152.195.56.195, URL: https://www.straitstimes.com/core/modules/system/css/components/resize.module.css?sejoad, Status: success, Reason: 
Domain: www.straitstimes.com, IP: 152.195.56.195, URL: https://www.straitstimes.com/core/modules/system/css/components/sticky-header.module.css?sejoad, Status: success, Reason: 
Domain: www.straitstimes.com, IP: 152.195.56.195, URL: https://www.straitstimes.com/core/modules/system/css/components/system-status-counter.css?sejoad, Status: success, Reason: 
Domain: www.straitstimes.com, IP: 152.195.56.195, URL: https://www.straitstimes.com/core/modules/system/css/components/system-status-report-counters.css?sejoad, Status: success, Reason: 
Domain: www.straitstimes.com, IP: 152.195.56.195, URL: https://www.straitstimes.com/core/modules/system/css/components/system-status-report-general-info.css?sejoad, Status: success, Reason: 
Domain: www.straitstimes.com, IP: 152.195.56.195, URL: https://www.straitstimes.com/core/modules/system/css/components/tabledrag.module.css?sejoad, Status: success, Reason: 
Domain: www.straitstimes.com, IP: 152.195.56.195, URL: https://www.straitstimes.com/core/modules/system/css/components/tablesort.module.css?sejoad, Status: success, Reason: 
Domain: www.straitstimes.com, IP: 152.195.56.195, URL: https://www.straitstimes.com/core/modules/system/css/components/tree-child.module.css?sejoad, Status: success, Reason: 
Domain: www.straitstimes.com, IP: 152.195.56.195, URL: https://www.straitstimes.com/modules/common/sph_dfp/modules/sph_dfp_betterads/css/sph-dfp-betterads.css?sejoad, Status: success, Reason: 
Domain: www.straitstimes.com, IP: 152.195.56.195, URL: https://www.straitstimes.com/modules/custom/st_rewards/css/st_rewards.css?sejoad, Status: success, Reason: 
Domain: www.straitstimes.com, IP: 152.195.56.195, URL: https://www.straitstimes.com/modules/custom/st_rewards/css/st_rewards_lb.css?sejoad, Status: success, Reason: 
Domain: www.straitstimes.com, IP: 152.195.56.195, URL: https://www.straitstimes.com/core/modules/views/css/views.module.css?sejoad, Status: success, Reason: 
Domain: www.straitstimes.com, IP: 152.195.56.195, URL: https://www.straitstimes.com/core/modules/layout_discovery/layouts/onecol/onecol.css?sejoad, Status: success, Reason: 
Domain: www.straitstimes.com, IP: 152.195.56.195, URL: https://www.straitstimes.com/modules/common/sph_subscriber_login/css/sph-mysph.css?sejoad, Status: success, Reason: 
Domain: www.straitstimes.com, IP: 152.195.56.195, URL: https://www.straitstimes.com/themes/custom/straitstimes/css/jquery.smartbanner.css?sejoad, Status: success, Reason: 
Domain: www.straitstimes.com, IP: 152.195.56.195, URL: https://www.straitstimes.com/themes/contrib/bootstrap_barrio/css/colors/messages/messages-light.css?sejoad, Status: success, Reason: 
Domain: www.straitstimes.com, IP: 152.195.56.195, URL: https://www.straitstimes.com/core/assets/vendor/jquery/jquery.min.js?v=3.6.3, Status: success, Reason: 
Domain: www.straitstimes.com, IP: 152.195.56.195, URL: https://www.straitstimes.com/core/misc/polyfills/element.matches.js?v=9.5.11, Status: success, Reason: 
Domain: www.straitstimes.com, IP: 152.195.56.195, URL: https://www.straitstimes.com/themes/contrib/bootstrap_barrio/css/components/node.css?sejoad, Status: success, Reason: 
Domain: www.straitstimes.com, IP: 152.195.56.195, URL: https://www.straitstimes.com/core/misc/polyfills/object.assign.js?v=9.5.11, Status: success, Reason: 
Domain: www.straitstimes.com, IP: 152.195.56.195, URL: https://www.straitstimes.com/core/assets/vendor/once/once.min.js?v=1.0.1, Status: success, Reason: 
Domain: www.straitstimes.com, IP: 152.195.56.195, URL: https://www.straitstimes.com/core/assets/vendor/jquery-once/jquery.once.min.js?v=2.2.3, Status: success, Reason: 
Domain: www.straitstimes.com, IP: 152.195.56.195, URL: https://www.straitstimes.com/core/misc/drupalSettingsLoader.js?v=9.5.11, Status: success, Reason: 
Domain: www.straitstimes.com, IP: 152.195.56.195, URL: https://www.straitstimes.com/core/misc/drupal.js?v=9.5.11, Status: success, Reason: 
Domain: www.straitstimes.com, IP: 152.195.56.195, URL: https://www.straitstimes.com/core/misc/drupal.init.js?v=9.5.11, Status: success, Reason: 
Domain: www.straitstimes.com, IP: 152.195.56.195, URL: https://www.straitstimes.com/modules/common/sph_liveramp/js/sph_liveramp.js?v=3.0.2, Status: success, Reason: 
Domain: www.straitstimes.com, IP: 152.195.56.195, URL: https://www.straitstimes.com/core/misc/jquery.once.bc.js?v=9.5.11, Status: success, Reason: 
Domain: www.straitstimes.com, IP: 152.195.56.195, URL: https://www.straitstimes.com/core/assets/vendor/js-cookie/js.cookie.min.js?v=3.0.1, Status: success, Reason: 
Domain: www.straitstimes.com, IP: 152.195.56.195, URL: https://www.straitstimes.com/core/misc/jquery.cookie.shim.js?v=9.5.11, Status: success, Reason: 
Domain: www.straitstimes.com, IP: 152.195.56.195, URL: https://www.straitstimes.com/modules/common/sph_subscriber_login/js/sph-mysph.js?sejoad, Status: success, Reason: 
Domain: www.straitstimes.com, IP: 152.195.56.195, URL: https://www.straitstimes.com/modules/common/sph_dfp/modules/sph_dfp_betterads/js/betterads_head2.js, Status: success, Reason: 
Domain: cdp.sph.com.sg, IP: 3.165.102.110, URL: https://cdp.sph.com.sg/activation/activation.js, Status: success, Reason: 
Domain: www.straitstimes.com, IP: 152.195.56.195, URL: https://www.straitstimes.com/themes/custom/straitstimes/css/style.css?sejoad, Status: success, Reason: 
Domain: www.straitstimes.com, IP: 152.195.56.195, URL: https://www.straitstimes.com/core/misc/polyfills/nodelist.foreach.js?v=9.5.11, Status: success, Reason: 
Domain: www.straitstimes.com, IP: 152.195.56.195, URL: https://www.straitstimes.com/core/assets/vendor/css-escape/css.escape.js?v=1.5.1, Status: success, Reason: 
Domain: www.straitstimes.com, IP: 152.195.56.195, URL: https://www.straitstimes.com/core/assets/vendor/es6-promise/es6-promise.auto.min.js?v=4.2.8, Status: success, Reason: 
Domain: www.straitstimes.com, IP: 152.195.56.195, URL: https://www.straitstimes.com/themes/custom/straitstimes/js/popper.min.js?v=9.5.11, Status: success, Reason: 
Domain: www.straitstimes.com, IP: 152.195.56.195, URL: https://www.straitstimes.com/themes/custom/straitstimes/js/bootstrap.min.js?v=9.5.11, Status: success, Reason: 
Domain: www.straitstimes.com, IP: 152.195.56.195, URL: https://www.straitstimes.com/core/assets/vendor/picturefill/picturefill.min.js?v=3.0.3, Status: success, Reason: 
Domain: www.straitstimes.com, IP: 152.195.56.195, URL: https://www.straitstimes.com/core/assets/vendor/tabbable/index.umd.min.js?v=5.3.3, Status: success, Reason: 
Domain: www.straitstimes.com, IP: 152.195.56.195, URL: https://www.straitstimes.com/core/misc/progress.js?v=9.5.11, Status: success, Reason: 
Domain: www.straitstimes.com, IP: 152.195.56.195, URL: https://www.straitstimes.com/core/assets/vendor/loadjs/loadjs.min.js?v=4.2.0, Status: success, Reason: 
Domain: www.straitstimes.com, IP: 152.195.56.195, URL: https://www.straitstimes.com/core/misc/ajax.js?v=9.5.11, Status: success, Reason: 
Domain: www.straitstimes.com, IP: 152.195.56.195, URL: https://www.straitstimes.com/core/modules/responsive_image/js/responsive_image.ajax.js?v=9.5.11, Status: success, Reason: 
Domain: www.straitstimes.com, IP: 152.195.56.195, URL: https://www.straitstimes.com/themes/custom/straitstimes/js/global.js?v=9.5.11, Status: success, Reason: 
Domain: www.straitstimes.com, IP: 152.195.56.195, URL: https://www.straitstimes.com/themes/custom/straitstimes/js/jquery.cycle.all.js?v=9.5.11, Status: success, Reason: 
Domain: www.straitstimes.com, IP: 152.195.56.195, URL: https://www.straitstimes.com/themes/custom/straitstimes/js/iframeResizer.min.js?v=9.5.11, Status: success, Reason: 
Domain: www.straitstimes.com, IP: 152.195.56.195, URL: https://www.straitstimes.com/themes/custom/straitstimes/js/sidebar-textbox.js?v=9.5.11, Status: success, Reason: 
